"","store_name","store_type","store_addr","store_lat","store_lon","store_rating"
"291","Puerto Sushi","restaurant","Esmeralda 1138, Valparaíso, Región de Valparaíso, Chile","-33.0426752","-71.6247983","3"
"301","Casino Social J. Cruz","restaurant","Condell 1466, Valparaíso, Región de Valparaíso, Chile","-33.0458741","-71.6223246","3.5"
"311","Norma's","restaurant","Almirante Montt 391, Valparaíso, Región de Valparaíso, Chile","-33.0430231","-71.6278372","4.5"
"321","Allegretto Restaurant","restaurant","Pilcomayo 529, Valparaíso, Región de Valparaíso, Chile","-33.042288","-71.627055","4.5"
"331","Mm450 Hotel Boutique Restaurante","jewelry_store","Lautaro Rosas 450, Valparaíso, Región de Valparaíso, Chile","-33.042862","-71.629358","4.8"
"341","Restorán Capri","restaurant","Cochrane 664, Valparaíso, Región de Valparaíso, Chile","-33.0392633","-71.6283784","4.5"
"351","El Bar Ingles","restaurant","Valparaíso, Valparaiso Region, Chile","-33.040217","-71.6267586","4"
"361","Cafe Postal Restaurante","restaurant","Artillería 347, Valparaíso, Región de Valparaíso, Chile","-33.0327409","-71.6312474","3.8"
"371","Restaurant Cinzano","restaurant","Plaza Aníbal Pinto 1882, Valparaíso, Región de Valparaíso, Chile","-33.0431106","-71.6248645","4.1"
"381","Mastodonte","restaurant","Calle Esmeralda 1139, Valparaíso, Región de Valparaíso, Chile","-33.0427257","-71.6246765","3.8"
"391","Oda Pacífico","restaurant","Condor 35, Valparaíso, Región de Valparaíso, Chile","-33.0527789","-71.6213803","3.8"
"401","Restauran Vegetariano BAMBU","restaurant","Independencia 1790, Valparaíso, Quinta Región de Valparaíso, Chile","-33.0472832","-71.6185053","3.9"
"411","Bar Restaurant Victoria","restaurant","Calle Salvador Donoso 1540, Valparaíso, Región de Valparaíso, Chile","-33.045637","-71.6207177","4"
"42","Aura Restaurant","cafe","Rudolph 254, Valparaíso, Región de Valparaíso, Chile","-33.0478937","-71.6214093","4.5"
"43","El Internado","restaurant","Pasaje Dimalow 167, Valparaíso, Valparaíso, Región de Valparaíso, Chile","-33.043791","-71.627192","4.5"
